                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.86404,                0.72647,                 1.1481,                0.99706,                0.98529,                0.99124,                0.84764,                0.60164,                0.54943,                 1.0489,               0.002575,               0.002575,               0.002575
                    152,                0.81849,                0.72523,                 1.1029,                      1,                0.98216,                0.99154,                0.84368,                0.58176,                0.56324,                 1.0337,              0.0025255,              0.0025255,              0.0025255
                    153,                0.80182,                0.73434,                 1.1384,                      1,                0.98134,                0.99187,                0.85896,                0.60785,                0.54325,                 1.0498,               0.002476,               0.002476,               0.002476
                    154,                0.82779,                0.71211,                 1.1514,                0.99949,                0.98529,                0.99194,                0.85865,                0.61243,                0.55744,                 1.0578,              0.0024265,              0.0024265,              0.0024265
                    155,                0.77319,                0.65151,                 1.1223,                 0.9993,                0.98529,                0.99148,                0.87043,                0.57287,                0.57114,                 1.0372,               0.002377,               0.002377,               0.002377
                    156,                0.82364,                0.70664,                 1.1446,                0.99838,                0.98529,                0.99273,                0.86104,                0.59424,                0.54419,                 1.0448,              0.0023275,              0.0023275,              0.0023275
                    157,                0.72125,                0.65038,                 1.0871,                0.99996,                0.98529,                0.99282,                 0.8777,                0.55407,                 0.5164,                 1.0258,               0.002278,               0.002278,               0.002278
                    158,                0.75513,                0.67201,                 1.0845,                0.99963,                0.98529,                0.99319,                0.85026,                0.58679,                0.50445,                 1.0345,              0.0022285,              0.0022285,              0.0022285
                    159,                0.76679,                0.72545,                 1.1613,                0.99688,                0.98529,                 0.9935,                0.84376,                0.58163,                0.49613,                 1.0245,               0.002179,               0.002179,               0.002179
                    160,                0.69171,                0.66884,                 1.0369,                0.99846,                0.98529,                0.99361,                0.84417,                0.60259,                0.51572,                 1.0261,              0.0021295,              0.0021295,              0.0021295
                    161,                0.76969,                0.69531,                 1.1413,                0.99829,                0.98529,                0.99361,                 0.8657,                0.58739,                0.49536,                 1.0217,                0.00208,                0.00208,                0.00208
                    162,                0.75162,                0.65097,                 1.1194,                0.99735,                0.98529,                 0.9935,                0.85797,                0.60568,                0.51667,                 1.0336,              0.0020305,              0.0020305,              0.0020305
                    163,                0.76152,                0.63413,                 1.0461,                0.99771,                0.98529,                0.99361,                 0.8576,                0.58711,                0.56102,                 1.0312,               0.001981,               0.001981,               0.001981
                    164,                0.87095,                0.78042,                 1.2508,                0.99635,                0.98529,                0.99407,                0.86109,                0.57365,                0.50993,                 1.0063,              0.0019315,              0.0019315,              0.0019315
                    165,                0.75911,                0.72176,                 1.1071,                      1,                 0.9828,                0.99407,                0.86458,                0.63198,                0.52678,                 1.0335,               0.001882,               0.001882,               0.001882
                    166,                0.86228,                0.74126,                  1.207,                0.99645,                0.97059,                0.99404,                0.86424,                0.63804,                0.52335,                 1.0376,              0.0018325,              0.0018325,              0.0018325
                    167,                0.73782,                0.67176,                 1.1271,                0.99978,                0.98529,                0.99444,                0.87687,                0.58749,                0.52153,                 1.0154,               0.001783,               0.001783,               0.001783
                    168,                0.75843,                0.62986,                 1.0475,                0.99854,                0.98529,                0.99444,                0.86773,                 0.5632,                0.51203,                0.99521,              0.0017335,              0.0017335,              0.0017335
                    169,                0.76746,                 0.6729,                 1.1474,                0.98511,                0.97303,                0.99443,                0.86499,                0.54577,                0.52397,                0.99193,               0.001684,               0.001684,               0.001684
                    170,                0.77299,                0.66507,                 1.1083,                0.99515,                0.97059,                 0.9943,                0.86566,                 0.5569,                0.52069,                0.99922,              0.0016345,              0.0016345,              0.0016345
                    171,                 0.7772,                0.60625,                 1.1024,                0.99816,                0.98529,                0.99419,                0.86928,                0.54429,                0.50695,                0.99622,               0.001585,               0.001585,               0.001585
                    172,                0.77796,                 0.6454,                 1.0912,                0.99812,                0.98529,                0.99395,                 0.8743,                0.54219,                0.49424,                0.99497,              0.0015355,              0.0015355,              0.0015355
                    173,                 0.7017,                 0.6101,                 1.0457,                0.99807,                0.98529,                0.99419,                0.87147,                 0.5424,                0.49423,                0.98777,               0.001486,               0.001486,               0.001486
                    174,                0.76366,                0.64582,                 1.0783,                0.99844,                0.98529,                0.99407,                0.87675,                0.55637,                0.48054,                 0.9887,              0.0014365,              0.0014365,              0.0014365
                    175,                0.77051,                0.65152,                 1.1025,                0.99825,                0.98529,                0.99395,                0.87239,                0.54834,                0.49243,                0.98622,               0.001387,               0.001387,               0.001387
                    176,                0.69798,                0.62416,                 1.0471,                0.99817,                0.98529,                0.99395,                0.87438,                0.53843,                0.49139,                0.98683,              0.0013375,              0.0013375,              0.0013375
                    177,                0.71384,                0.56319,                 0.9885,                0.99844,                0.98529,                0.99383,                0.87369,                0.55299,                 0.4917,                0.99197,               0.001288,               0.001288,               0.001288
                    178,                0.74875,                0.61749,                 1.0847,                0.99824,                0.98529,                 0.9934,                0.86399,                0.55886,                0.50293,                0.99511,              0.0012385,              0.0012385,              0.0012385
                    179,                0.74039,                0.61209,                 1.0794,                 0.9973,                0.98529,                0.99407,                0.88274,                0.53388,                0.51002,                0.98287,               0.001189,               0.001189,               0.001189
                    180,                0.77694,                 0.6559,                 1.0819,                0.99678,                0.98529,                0.99419,                0.87463,                0.52286,                0.50168,                0.97822,              0.0011395,              0.0011395,              0.0011395
                    181,                0.71072,                0.64775,                 1.0547,                0.99648,                0.98529,                0.99432,                0.86855,                0.52401,                0.50241,                 0.9746,                0.00109,                0.00109,                0.00109
                    182,                0.74179,                0.62452,                 1.0309,                0.99349,                0.98529,                0.99471,                0.85146,                0.53137,                0.52045,                0.97632,              0.0010405,              0.0010405,              0.0010405
                    183,                0.79213,                0.69628,                 1.0985,                0.99265,                0.98529,                0.99471,                0.86559,                0.51953,                0.52297,                0.97607,               0.000991,               0.000991,               0.000991
                    184,                0.69409,                0.59358,                 1.0414,                0.99746,                0.98529,                0.99471,                0.87084,                0.51972,                0.49971,                0.97744,              0.0009415,              0.0009415,              0.0009415
                    185,                 0.7358,                0.60516,                 1.0345,                      1,                0.99802,                  0.995,                0.87176,                0.53333,                0.50241,                0.98779,               0.000892,               0.000892,               0.000892
                    186,                0.68743,                0.62097,                 1.0887,                      1,                0.99831,                  0.995,                0.87884,                0.52801,                0.49672,                 0.9906,              0.0008425,              0.0008425,              0.0008425
                    187,                0.69664,                0.65118,                 1.0405,                      1,                0.99851,                  0.995,                0.88512,                0.51972,                0.47584,                0.98881,               0.000793,               0.000793,               0.000793
                    188,                0.67669,                0.58645,                 1.0106,                      1,                0.99856,                  0.995,                0.87915,                0.51688,                0.46707,                0.98246,              0.0007435,              0.0007435,              0.0007435
                    189,                 0.6843,                 0.5584,                 1.0313,                      1,                 0.9988,                  0.995,                0.88148,                0.51037,                0.46512,                0.97843,               0.000694,               0.000694,               0.000694
                    190,                0.59006,                0.54868,                0.97941,                      1,                0.99882,                  0.995,                0.88395,                0.51013,                0.46269,                0.97644,              0.0006445,              0.0006445,              0.0006445
                    191,                0.71048,                 0.6153,                 1.0844,                      1,                0.99888,                  0.995,                0.89209,                0.49675,                  0.473,                0.97401,               0.000595,               0.000595,               0.000595
                    192,                0.68509,                0.57376,                 1.0219,                      1,                0.99898,                  0.995,                0.89048,                0.48566,                0.47212,                0.97048,              0.0005455,              0.0005455,              0.0005455
                    193,                0.77866,                0.61345,                 1.1119,                      1,                0.99898,                  0.995,                0.89895,                0.48466,                0.48513,                 0.9668,               0.000496,               0.000496,               0.000496
                    194,                0.73987,                0.64268,                 1.1013,                      1,                0.99877,                  0.995,                0.89889,                0.48494,                0.48932,                 0.9667,              0.0004465,              0.0004465,              0.0004465
                    195,                0.70883,                0.64621,                 1.0626,                      1,                 0.9988,                  0.995,                0.89375,                0.49483,                0.47939,                0.96481,               0.000397,               0.000397,               0.000397
                    196,                0.65238,                0.63247,                 1.0548,                      1,                0.99874,                  0.995,                0.89679,                0.49626,                0.46925,                 0.9629,              0.0003475,              0.0003475,              0.0003475
                    197,                 0.7258,                0.65391,                 1.0674,                      1,                0.99886,                  0.995,                0.88936,                0.49534,                0.46202,                0.95991,               0.000298,               0.000298,               0.000298
                    198,                0.70931,                0.59987,                 1.0697,                      1,                0.99875,                  0.995,                0.89626,                0.49793,                0.46039,                0.95989,              0.0002485,              0.0002485,              0.0002485
                    199,                0.70752,                0.61939,                 1.0822,                      1,                0.99882,                  0.995,                0.89238,                0.50667,                0.45693,                0.96687,               0.000199,               0.000199,               0.000199
